,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
148,0015864,The Gold Rush,1925,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,Malcolm Waite
149,2096673,Inside Out,2015,Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black
150,0046912,Dial M for Murder,1954,Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson
151,0434409,V for Vendetta,2005,Natalie Portman,Hugo Weaving,Stephen Rea,Stephen Fry,John Hurt
152,0469494,There Will Be Blood,2007,Daniel Day-Lewis,Martin Stringer,Matthew Braden Stringer,Jacob Stringer,Joseph Mussey
153,0050976,The Seventh Seal,1957,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,Max von Sydow,Bibi Andersson
154,1291584,Warrior,2011,Joel Edgerton,Tom Hardy,Nick Nolte,Jennifer Morrison,Frank Grillo
155,3170832,Room,2015,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,Sandy McMaster
156,0117951,Trainspotting,1996,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,Robert Carlyle
157,0477348,No Country for Old Men,2007,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald
158,8108198,Andhadhun,2018,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,Manav Vij
159,0080678,The Elephant Man,1980,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,Wendy Hiller
160,0167404,The Sixth Sense,1999,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Trevor Morgan
161,1130884,Shutter Island,2010,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Max von Sydow,Michelle Williams
162,0084787,The Thing,1982,Kurt Russell,Wilford Brimley,T.K. Carter,David Clennon,Keith David
163,0050212,The Bridge on the River Kwai,1957,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald
164,0031381,Gone with the Wind,1939,Thomas Mitchell,Barbara O'Neil,Vivien Leigh,Evelyn Keyes,Ann Rutherford
165,0116231,The Bandit,1996,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,Kamran Usluer
166,0041959,The Third Man,1949,Joseph Cotten,Alida Valli,Orson Welles,Trevor Howard,Bernard Lee
